doc_id,unit_id,temporal_index,content,modality
lecture_1,U1,1,Neural network architecture diagram,diagram
lecture_1,U2,2,Introduction to linear regression and supervised learning,text
lecture_1,U3,3,Explanation of gradient descent optimization,text
lecture_1,U4,4,Training data table with input-output pairs,table
lecture_1,U5,5,Introduction to linear regression and supervised learning,text
lecture_1,U6,6,∂L/∂w = (ŷ - y)x,equation
lecture_1,U7,7,∂L/∂w = (ŷ - y)x,equation
lecture_1,U8,8,Visualization of decision boundary,diagram
lecture_1,U9,9,∂L/∂w = (ŷ - y)x,equation
lecture_1,U10,10,∂L/∂w = (ŷ - y)x,equation
lecture_1,U11,11,Diagram showing regression line fitting data points,diagram
lecture_1,U12,12,L = (1/n) Σ (y - ŷ)^2,equation
lecture_1,U13,13,Explanation of gradient descent optimization,text
lecture_1,U14,14,Introduction to linear regression and supervised learning,text
lecture_1,U15,15,Comparison table of algorithm performance metrics,table
lecture_1,U16,16,Graphical illustration of gradient descent,diagram
lecture_1,U17,17,Introduction to linear regression and supervised learning,text
lecture_1,U18,18,Overview of neural networks and activation functions,text
lecture_1,U19,19,Discussion of overfitting and model generalization,text
lecture_1,U20,20,Neural network architecture diagram,diagram
lecture_2,U1,1,Neural network architecture diagram,diagram
lecture_2,U2,2,Hyperparameter tuning results table,table
lecture_2,U3,3,Visualization of decision boundary,diagram
lecture_2,U4,4,Hyperparameter tuning results table,table
lecture_2,U5,5,Dataset statistics table showing samples and features,table
lecture_2,U6,6,Visualization of decision boundary,diagram
lecture_2,U7,7,L = (1/n) Σ (y - ŷ)^2,equation
lecture_2,U8,8,Overview of neural networks and activation functions,text
lecture_2,U9,9,Comparison table of algorithm performance metrics,table
lecture_2,U10,10,Training data table with input-output pairs,table
lecture_2,U11,11,Comparison table of algorithm performance metrics,table
lecture_2,U12,12,Diagram showing regression line fitting data points,diagram
lecture_2,U13,13,Neural network architecture diagram,diagram
lecture_2,U14,14,σ(x) = 1 / (1 + e^-x),equation
lecture_2,U15,15,Flowchart of machine learning pipeline,diagram
lecture_2,U16,16,Flowchart of machine learning pipeline,diagram
lecture_2,U17,17,Comparison table of algorithm performance metrics,table
lecture_2,U18,18,∂L/∂w = (ŷ - y)x,equation
lecture_2,U19,19,softmax(z_i) = e^{z_i} / Σ e^{z_j},equation
lecture_2,U20,20,Flowchart of machine learning pipeline,diagram
lecture_3,U1,1,Graphical illustration of gradient descent,diagram
lecture_3,U2,2,∂L/∂w = (ŷ - y)x,equation
